Age,Gender,Period,Unemployed
16 to 19 years,Men,Jan-05,91000
16 to 19 years,Women,Jan-05,38000
16 to 19 years,Men,Feb-05,90000
16 to 19 years,Women,Feb-05,54000
16 to 19 years,Men,Mar-05,114000
16 to 19 years,Women,Mar-05,53000
16 to 19 years,Men,Apr-05,86000
16 to 19 years,Women,Apr-05,53000
16 to 19 years,Men,May-05,87000
16 to 19 years,Women,May-05,44000
16 to 19 years,Men,Jun-05,74000
16 to 19 years,Women,Jun-05,47000
16 to 19 years,Men,Jul-05,79000
16 to 19 years,Women,Jul-05,39000
16 to 19 years,Men,Aug-05,69000
16 to 19 years,Women,Aug-05,47000
16 to 19 years,Men,Sep-05,64000
16 to 19 years,Women,Sep-05,41000
16 to 19 years,Men,Oct-05,51000
16 to 19 years,Women,Oct-05,48000
16 to 19 years,Men,Nov-05,53000
16 to 19 years,Women,Nov-05,28000
16 to 19 years,Men,Dec-05,62000
16 to 19 years,Women,Dec-05,30000
16 to 19 years,Men,Jan-06,34000
16 to 19 years,Women,Jan-06,39000
16 to 19 years,Men,Feb-06,68000
16 to 19 years,Women,Feb-06,26000
16 to 19 years,Men,Mar-06,84000
16 to 19 years,Women,Mar-06,40000
16 to 19 years,Men,Apr-06,97000
16 to 19 years,Women,Apr-06,28000
16 to 19 years,Men,May-06,66000
16 to 19 years,Women,May-06,45000
16 to 19 years,Men,Jun-06,63000
16 to 19 years,Women,Jun-06,30000
16 to 19 years,Men,Jul-06,74000
16 to 19 years,Women,Jul-06,74000
16 to 19 years,Men,Aug-06,77000
16 to 19 years,Women,Aug-06,46000
16 to 19 years,Men,Sep-06,53000
16 to 19 years,Women,Sep-06,27000
16 to 19 years,Men,Oct-06,50000
16 to 19 years,Women,Oct-06,21000
16 to 19 years,Men,Nov-06,61000
16 to 19 years,Women,Nov-06,37000
16 to 19 years,Men,Dec-06,66000
16 to 19 years,Women,Dec-06,30000
16 to 19 years,Men,Jan-07,57000
16 to 19 years,Women,Jan-07,33000
16 to 19 years,Men,Feb-07,100000
16 to 19 years,Women,Feb-07,37000
16 to 19 years,Men,Mar-07,83000
16 to 19 years,Women,Mar-07,24000
16 to 19 years,Men,Apr-07,90000
16 to 19 years,Women,Apr-07,45000
16 to 19 years,Men,May-07,73000
16 to 19 years,Women,May-07,37000
16 to 19 years,Men,Jun-07,54000
16 to 19 years,Women,Jun-07,54000
16 to 19 years,Men,Jul-07,44000
16 to 19 years,Women,Jul-07,41000
16 to 19 years,Men,Aug-07,43000
16 to 19 years,Women,Aug-07,47000
16 to 19 years,Men,Sep-07,68000
16 to 19 years,Women,Sep-07,36000
16 to 19 years,Men,Oct-07,60000
16 to 19 years,Women,Oct-07,27000
16 to 19 years,Men,Nov-07,65000
16 to 19 years,Women,Nov-07,46000
16 to 19 years,Men,Dec-07,69000
16 to 19 years,Women,Dec-07,36000
16 to 19 years,Men,Jan-08,90000
16 to 19 years,Women,Jan-08,47000
16 to 19 years,Men,Feb-08,105000
16 to 19 years,Women,Feb-08,37000
16 to 19 years,Men,Mar-08,71000
16 to 19 years,Women,Mar-08,51000
16 to 19 years,Men,Apr-08,95000
16 to 19 years,Women,Apr-08,50000
16 to 19 years,Men,May-08,91000
16 to 19 years,Women,May-08,69000
16 to 19 years,Men,Jun-08,80000
16 to 19 years,Women,Jun-08,51000
16 to 19 years,Men,Jul-08,74000
16 to 19 years,Women,Jul-08,48000
16 to 19 years,Men,Aug-08,78000
16 to 19 years,Women,Aug-08,62000
16 to 19 years,Men,Sep-08,75000
16 to 19 years,Women,Sep-08,69000
16 to 19 years,Men,Oct-08,114000
16 to 19 years,Women,Oct-08,48000
16 to 19 years,Men,Nov-08,106000
16 to 19 years,Women,Nov-08,53000
16 to 19 years,Men,Dec-08,109000
16 to 19 years,Women,Dec-08,83000
16 to 19 years,Men,Jan-09,135000
16 to 19 years,Women,Jan-09,86000
16 to 19 years,Men,Feb-09,198000
16 to 19 years,Women,Feb-09,85000
16 to 19 years,Men,Mar-09,152000
16 to 19 years,Women,Mar-09,112000
16 to 19 years,Men,Apr-09,213000
16 to 19 years,Women,Apr-09,121000
16 to 19 years,Men,May-09,174000
16 to 19 years,Women,May-09,102000
16 to 19 years,Men,Jun-09,207000
16 to 19 years,Women,Jun-09,118000
16 to 19 years,Men,Jul-09,192000
16 to 19 years,Women,Jul-09,126000
16 to 19 years,Men,Aug-09,180000
16 to 19 years,Women,Aug-09,94000
16 to 19 years,Men,Sep-09,165000
16 to 19 years,Women,Sep-09,99000
16 to 19 years,Men,Oct-09,229000
16 to 19 years,Women,Oct-09,118000
16 to 19 years,Men,Nov-09,228000
16 to 19 years,Women,Nov-09,113000
16 to 19 years,Men,Dec-09,237000
16 to 19 years,Women,Dec-09,136000
16 to 19 years,Men,Jan-10,227000
16 to 19 years,Women,Jan-10,134000
16 to 19 years,Men,Feb-10,228000
16 to 19 years,Women,Feb-10,132000
16 to 19 years,Men,Mar-10,286000
16 to 19 years,Women,Mar-10,152000
16 to 19 years,Men,Apr-10,296000
16 to 19 years,Women,Apr-10,118000
16 to 19 years,Men,May-10,240000
16 to 19 years,Women,May-10,159000
16 to 19 years,Men,Jun-10,280000
16 to 19 years,Women,Jun-10,117000
16 to 19 years,Men,Jul-10,238000
16 to 19 years,Women,Jul-10,152000
16 to 19 years,Men,Aug-10,197000
16 to 19 years,Women,Aug-10,126000
16 to 19 years,Men,Sep-10,158000
16 to 19 years,Women,Sep-10,93000
16 to 19 years,Men,Oct-10,162000
16 to 19 years,Women,Oct-10,144000
16 to 19 years,Men,Nov-10,149000
16 to 19 years,Women,Nov-10,105000
16 to 19 years,Men,Dec-10,149000
16 to 19 years,Women,Dec-10,143000
16 to 19 years,Men,Jan-11,204000
16 to 19 years,Women,Jan-11,148000
16 to 19 years,Men,Feb-11,196000
16 to 19 years,Women,Feb-11,99000
16 to 19 years,Men,Mar-11,205000
16 to 19 years,Women,Mar-11,134000
16 to 19 years,Men,Apr-11,241000
16 to 19 years,Women,Apr-11,115000
16 to 19 years,Men,May-11,196000
16 to 19 years,Women,May-11,162000
16 to 19 years,Men,Jun-11,180000
16 to 19 years,Women,Jun-11,151000
16 to 19 years,Men,Jul-11,164000
16 to 19 years,Women,Jul-11,171000
16 to 19 years,Men,Aug-11,163000
16 to 19 years,Women,Aug-11,195000
16 to 19 years,Men,Sep-11,134000
16 to 19 years,Women,Sep-11,157000
16 to 19 years,Men,Oct-11,146000
16 to 19 years,Women,Oct-11,113000
16 to 19 years,Men,Nov-11,189000
16 to 19 years,Women,Nov-11,111000
16 to 19 years,Men,Dec-11,150000
16 to 19 years,Women,Dec-11,96000
16 to 19 years,Men,Jan-12,200000
16 to 19 years,Women,Jan-12,139000
16 to 19 years,Men,Feb-12,184000
16 to 19 years,Women,Feb-12,136000
16 to 19 years,Men,Mar-12,186000
16 to 19 years,Women,Mar-12,151000
16 to 19 years,Men,Apr-12,180000
16 to 19 years,Women,Apr-12,146000
16 to 19 years,Men,May-12,168000
16 to 19 years,Women,May-12,127000
16 to 19 years,Men,Jun-12,159000
16 to 19 years,Women,Jun-12,118000
16 to 19 years,Men,Jul-12,149000
16 to 19 years,Women,Jul-12,121000
16 to 19 years,Men,Aug-12,121000
16 to 19 years,Women,Aug-12,114000
16 to 19 years,Men,Sep-12,147000
16 to 19 years,Women,Sep-12,82000
16 to 19 years,Men,Oct-12,160000
16 to 19 years,Women,Oct-12,105000
16 to 19 years,Men,Nov-12,192000
16 to 19 years,Women,Nov-12,96000
16 to 19 years,Men,Dec-12,155000
16 to 19 years,Women,Dec-12,69000
16 to 19 years,Men,Jan-13,166000
16 to 19 years,Women,Jan-13,107000
16 to 19 years,Men,Feb-13,202000
16 to 19 years,Women,Feb-13,95000
16 to 19 years,Men,Mar-13,151000
16 to 19 years,Women,Mar-13,103000
16 to 19 years,Men,Apr-13,160000
16 to 19 years,Women,Apr-13,124000
16 to 19 years,Men,May-13,161000
16 to 19 years,Women,May-13,94000
16 to 19 years,Men,Jun-13,146000
16 to 19 years,Women,Jun-13,106000
16 to 19 years,Men,Jul-13,131000
16 to 19 years,Women,Jul-13,79000
16 to 19 years,Men,Aug-13,123000
16 to 19 years,Women,Aug-13,77000
16 to 19 years,Men,Sep-13,141000
16 to 19 years,Women,Sep-13,37000
16 to 19 years,Men,Oct-13,132000
16 to 19 years,Women,Oct-13,73000
16 to 19 years,Men,Nov-13,144000
16 to 19 years,Women,Nov-13,75000
16 to 19 years,Men,Dec-13,106000
16 to 19 years,Women,Dec-13,62000
16 to 19 years,Men,Jan-14,97000
16 to 19 years,Women,Jan-14,88000
16 to 19 years,Men,Feb-14,129000
16 to 19 years,Women,Feb-14,112000
16 to 19 years,Men,Mar-14,136000
16 to 19 years,Women,Mar-14,99000
16 to 19 years,Men,Apr-14,119000
16 to 19 years,Women,Apr-14,88000
16 to 19 years,Men,May-14,84000
16 to 19 years,Women,May-14,75000
16 to 19 years,Men,Jun-14,66000
16 to 19 years,Women,Jun-14,81000
16 to 19 years,Men,Jul-14,98000
16 to 19 years,Women,Jul-14,93000
16 to 19 years,Men,Aug-14,105000
16 to 19 years,Women,Aug-14,68000
16 to 19 years,Men,Sep-14,89000
16 to 19 years,Women,Sep-14,83000
16 to 19 years,Men,Oct-14,84000
16 to 19 years,Women,Oct-14,37000
16 to 19 years,Men,Nov-14,75000
16 to 19 years,Women,Nov-14,62000
16 to 19 years,Men,Dec-14,81000
16 to 19 years,Women,Dec-14,60000
16 to 19 years,Men,Jan-15,85000
16 to 19 years,Women,Jan-15,75000
16 to 19 years,Men,Feb-15,93000
16 to 19 years,Women,Feb-15,80000
20 to 24 years,Men,Jan-05,175000
20 to 24 years,Women,Jan-05,90000
20 to 24 years,Men,Feb-05,154000
20 to 24 years,Women,Feb-05,114000
20 to 24 years,Men,Mar-05,137000
20 to 24 years,Women,Mar-05,113000
20 to 24 years,Men,Apr-05,125000
20 to 24 years,Women,Apr-05,114000
20 to 24 years,Men,May-05,106000
20 to 24 years,Women,May-05,99000
20 to 24 years,Men,Jun-05,109000
20 to 24 years,Women,Jun-05,73000
20 to 24 years,Men,Jul-05,110000
20 to 24 years,Women,Jul-05,72000
20 to 24 years,Men,Aug-05,142000
20 to 24 years,Women,Aug-05,57000
20 to 24 years,Men,Sep-05,127000
20 to 24 years,Women,Sep-05,55000
20 to 24 years,Men,Oct-05,102000
20 to 24 years,Women,Oct-05,56000
20 to 24 years,Men,Nov-05,97000
20 to 24 years,Women,Nov-05,65000
20 to 24 years,Men,Dec-05,93000
20 to 24 years,Women,Dec-05,56000
20 to 24 years,Men,Jan-06,126000
20 to 24 years,Women,Jan-06,27000
20 to 24 years,Men,Feb-06,135000
